"accession_code","MEdarkgreen","MEpink","MEred","MEdarkturquoise","MEgreen","MEblue","MElightyellow","MEbrown","MElightcyan","MEcyan","MEgreenyellow","MEblack","MEdarkred","MEturquoise","MEmagenta","MEroyalblue"
"P0S1",-0.0280588939572291,0.237549279802082,0.29637945277132,0.37755257776704,-0.0991518780862267,0.0900262583644414,0.110158614985576,0.0593689642835463,-0.236503018345334,-0.0738998703135663,-0.0864535103894768,0.0126208936527176,-0.960349963296249,-0.27480530386394,0.113701412635716,-0.4164358903608
"P0S2",-0.0422963595029587,0.0434455929510883,0.431532690606484,0.328228538670135,0.0432761037535703,-0.1076330355301,0.0631141354868271,-0.0711145124960624,-0.163461898099402,0.154512966871359,-0.154522710977261,0.210805608562324,0.0445759480271439,-0.358869179138694,0.167806151362082,-0.31987930658361
"P0S3",0.0257196165429138,0.202359573182379,0.370850071306749,0.143666321417167,0.0288452152621324,-0.02086574966094,0.105623420881094,-0.115230491369736,-0.0616227598427043,0.149271214390947,-0.100267345278506,-0.0468394239037005,0.026035680937123,-0.33981611019034,0.0518874700167436,-0.241139605746424
"P0S6",0.186810800547521,-0.050505529292756,0.356809052829628,0.109161671512276,-0.107557229599576,-0.286705659936351,-0.0092411657773633,0.144758578114953,0.629595679242668,0.181904873322311,-0.106077876608666,0.163878629625062,0.0759713355477629,-0.224306595109013,-0.749045300267963,-0.405369096332005
"P0S7",0.0843886401363326,0.158142596315992,0.395303280563948,0.0416564357069846,-0.013507858648527,-0.38901949298152,-0.0559494178256564,0.0380930036224581,0.299312317144463,0.221355889761573,0.0256242679020604,-0.0767991446161525,0.0528611104899828,-0.256033725043396,-0.323588134100447,-0.214726933407027
"CS1",0.10822590109039,-0.0487221459901544,-0.225536387539514,0.541402540915507,0.27902083555857,0.22360439673445,0.1518920735337,-0.316380781187877,-0.237844907983836,-0.889128196727083,-0.44730717990018,0.252447546607735,0.0415065805812425,0.080199530919387,0.169481276363839,0.0500854632139799
"CS2",0.041958124389651,-0.00777421912782651,-0.0961660872289195,0.0228244779457295,0.374979956646731,0.0830811161473578,0.0515426344354519,-0.333624859150459,-0.0786947022841064,-0.00761824886150753,-0.110081815280183,0.089663513956963,0.0564364956300896,-0.00897709611057684,0.0980420201196663,0.361226336618932
"CS3",0.0697423843614588,0.185764140763179,-0.106782539250166,0.15246333938425,0.446261209345014,0.0889092739632162,0.0804692384457974,-0.416268934419876,-0.259046992702869,-0.0128161496521834,-0.102111530624959,0.0881523098160372,-0.0201258804876104,-0.0956835711777675,0.238998958837285,0.15885613957517
"CS5",0.123299590577757,-0.0259097435340599,-0.135282896394164,-0.0281032913929097,0.243892820453757,0.161694614328918,0.0394759034111034,-0.167859320659493,-0.00931240928668532,-0.00997227327693656,-0.177746874979038,0.126220779934933,0.0408297898986264,-0.018253811950083,0.0541135424008278,0.129059597937349
"CS6",0.081401013052957,0.134187583768253,-0.113256844695453,0.125823599957961,0.475014234230222,0.211819959060711,0.142569971161392,-0.409074480291283,-0.23995006570998,-0.103488629300364,-0.23151897516879,0.11563882187428,0.113685119445452,-0.0733228327104949,0.0955598094340337,0.130468797429228
"P2S1",-0.0533899191037589,0.236926749499417,0.020367536432612,-0.0534797557174315,-0.135180353993734,-0.0271305288423024,0.037328966314588,-0.0112693574083139,-0.0758292492771251,0.0484179373893568,0.364204362071029,-0.419666440409238,-0.00573669783795518,-0.0224794754409458,0.0857911789422507,0.201832587974146
"P2S2",0.0895772095006469,0.143514823972613,-0.111139032487865,-0.0923261347369698,-0.153033700829448,0.320539764988013,0.120416271593305,-0.0041849211075716,-0.00114374330320186,-0.0298627133382042,0.205749988156632,-0.433886763953276,0.0887788111590165,0.00249734322776721,-0.110707053928159,0.312120370885091
"P2S3",0.0163337653148776,0.171377398406605,-0.0190676815132287,-0.12262930048545,-0.0692653905856281,-0.0066626615793333,0.0133467462376159,0.0784495368316092,-0.0191030632605113,0.0378733310019414,0.260372917760066,-0.173798240421298,0.0514649394047891,-0.00575054457860404,-0.0176957652941687,0.176757476897813
"P2S4",0.149939580085139,0.0165989858014519,-0.0872404264018863,-0.13252874171917,-0.175282600949358,0.351280273419359,0.122455648503719,0.0969989433502425,0.194223506491106,-0.100204094021284,0.195238822222937,-0.356955204024694,0.104992104338675,-0.015253182882092,-0.252434207464603,-0.0888661288911233
"P2S5",0.00977057996101416,0.112372305141858,-0.0590675480999301,-0.155059604698998,-0.13268401316106,0.00732779056701786,0.039214149652168,0.0980038917301388,0.0811905919607296,0.0330239439705018,0.316598242253285,-0.117698205899037,0.00825605786252138,-0.0066565870799861,-0.00330852938283209,0.148028876409731
"P2S6",-0.0358867057990318,0.226791161709069,-0.0135638439960954,-0.097872873788407,-0.100944888759051,-0.087474664250523,0.00718609572606523,0.0378538955359806,0.0247083610277739,0.0804705046020146,0.4373354946927,-0.321604017197627,-0.0102413256023702,-0.00877881156450177,0.0830321493552626,0.182614473479937
"RS1",0.0687820771851472,-0.319598685152293,-0.110537252882183,-0.189465805233266,-0.205282932720485,-0.306051820444194,-0.936000248247207,0.246839939136927,0.0523643733677638,0.162669791806323,0.105174924024954,0.13028083710511,0.0859236450260581,0.319466230935004,0.176341943067556,-0.0424504095349249
"RS2",0.0655465309873326,-0.344410448879893,-0.177483761102484,-0.328151064960071,-0.135465721499504,-0.333148463780386,0.0118644732915905,0.339299343416799,0.261229457042172,0.0124121371374452,-0.106232827765664,0.21288334227132,0.0959398116644938,0.379529826106113,-0.126403875100023,-0.068314108570944
"RS4",0.0312788748300302,-0.273147415653602,-0.155927695466094,-0.23323758909781,-0.182768652273731,-0.328641427007976,-0.0798274831492964,0.292424921297827,0.207618765591895,0.11911474081674,-0.0379169463296193,0.133821669628101,0.0577248873042163,0.331473694339985,-0.0112783449870911,-0.115011407099759
"RS6",-0.930390316626393,-0.527100526289947,-0.273980786088801,-0.0993306349016215,-0.217318503665682,0.167549931588681,-0.00372423374570049,0.237853243474927,-0.244266930696802,-0.0124741299707909,-0.200612618937487,0.267602224993626,-0.0166261926065948,0.363484546487392,0.205494445016681,0.1000311675963
"RS7",-0.0627524935737956,-0.271861477393455,-0.186209301363957,-0.310594706544945,-0.163846650477986,0.187500124851463,-0.0119157949147689,0.175063397295263,-0.123463311076016,0.0384369743914071,-0.0494488068438341,0.143231262396814,0.0680977425135878,0.232335654824787,0.0542108529733431,-0.03888840149106
