baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AIPGENE10	1.42972764961	-0.60752471641834	0.957903469482843	-0.634223317665123	0.525935092183255	NA
AIPGENE100	0.0413840992564291	0.526407728479383	6.19612289144759	0.0849575997283681	0.932295099301304	NA
AIPGENE1000	1.48110318828028	-0.719022962819469	0.855724904022884	-0.840250131133546	0.400768155824448	NA
AIPGENE10000	44.8704083591376	-0.151046925681375	0.192395043029427	-0.785087408194148	0.432402321913309	0.746771644679177
AIPGENE10001	3.86794158349404	0.532616341395777	0.614950764383067	0.866112170671273	0.386428651550059	NA
AIPGENE10002	145.272743676908	-0.499665787360809	0.158891385197963	-3.14470030416234	0.0016625705234818	0.0303333421023909
AIPGENE10003	2.63387123261006	0.252083280318434	1.01793853607834	0.247640963952105	0.80441221305627	NA
AIPGENE10004	17.5436509284815	-0.46636822149239	0.25954279607932	-1.79688370680056	0.0723540837661705	0.326332989571162
AIPGENE10005	1.3441266294002	0.971502887577997	0.936517825541145	1.03735653618407	0.299569726429167	NA
AIPGENE10006	13.8175648549091	-0.325048851721433	0.298485096662182	-1.08899524752257	0.276155981445645	0.627057391377205
AIPGENE10007	14.9976265399836	0.622167842653185	0.362083358375817	1.71830002197289	0.0857419053780076	0.35495654891584
AIPGENE10008	470.011908026712	0.70297962651199	0.196921710692727	3.56984318305514	0.000357194991899384	0.00965108147960205
AIPGENE10009	2.32308840779838	0.142668338078096	0.726260795118602	0.196442295986524	0.844263993713083	NA
AIPGENE1001	2.01420077200399	-0.521366865006522	0.731971768313117	-0.712277286606355	0.476293086184537	NA
AIPGENE10010	61.195858322268	-0.205411342474602	0.158423723490859	-1.29659458790876	0.194770715607845	0.534865791316726
AIPGENE10011	1.29727755289325	1.02087026909093	1.09541641260928	0.931947209608822	0.351363808067269	NA
AIPGENE10012	75.7798413543448	-0.415985073233259	0.158719835341811	-2.62087641621738	0.00877040488706905	0.0932406565552958
AIPGENE10013	0.285160539706706	-0.895221535417649	2.14445156771839	-0.417459432935633	0.67634239086648	NA
AIPGENE10014	14.8983700876749	0.288528805822947	0.309631856925733	0.931844703215249	0.351416788295064	0.693571440735222
AIPGENE10015	1.31467429709274	-0.401855143507211	0.974290979473119	-0.412459061998632	0.680002980708608	NA
AIPGENE10016	9.52389721809853	-0.0647440364470408	0.349558253105155	-0.185216729606336	0.853059047782574	0.950529370153555
AIPGENE10017	8.78463169730428	0.315001475472543	0.380070770019976	0.828796898682809	0.407219343437575	0.729336016704287
AIPGENE10018	0.895510328426836	-0.898495460281648	1.39587953220375	-0.643676935976808	0.519784948959906	NA
AIPGENE10019	1.93702932181372	0.167461732411946	0.85127194650451	0.196719430376599	0.844047103959236	NA
AIPGENE1002	5.89983747303452	0.986078035111461	0.50692499452733	1.94521486562505	0.0517491234126243	0.270355752500345
AIPGENE10020	119.360039413946	0.109269020197712	0.123995233348107	0.881235651139486	0.378190286777494	0.71145775256091
AIPGENE10021	2.26148018350428	-0.114759961599377	0.663224488942117	-0.173033359763941	0.862625205805878	NA
AIPGENE10022	16.9155215910539	0.348909325226258	0.283294759488396	1.23161235264767	0.21809392437798	0.564698935871149
AIPGENE10023	0.374388207351055	0.382214173817134	2.00519648206091	0.190611831427262	0.848829720012994	NA
AIPGENE10024	42.762006620919	-0.422767626229591	0.20470912114571	-2.06521147598826	0.0389029951539217	0.232400255438491
AIPGENE10025	1319.14805196981	0.269663952566005	0.109349892948042	2.46606508059534	0.013660651145484	0.124537990288321
AIPGENE10026	0.478849558749941	-0.913011925852091	1.7236085830484	-0.529709549390457	0.596313325989736	NA
AIPGENE10027	0.316612919930207	0.382217579974959	1.98630263768982	0.192426658819474	0.847408011868969	NA
AIPGENE10028	6.17221635901661	1.48343789720121	0.520742310449753	2.84869861240967	0.00438984438576348	0.0591918255367993
AIPGENE10029	313.786123446643	1.35177891237583	0.311978777973563	4.33291944136783	1.47144963236106e-05	0.000828566755334355
AIPGENE1003	12.343553009036	-0.881446891246836	0.332191688889429	-2.65342848941723	0.00796786518174612	0.0876430955107347
AIPGENE10030	2.59022646488836	-0.036792017088357	0.699803048249271	-0.0525748168436838	0.95807068245981	NA
AIPGENE10031	60.5888398759733	-0.175079012672651	0.178882934613763	-0.978735132284556	0.32771086833241	0.674045706428942
AIPGENE10033	10.1514902854847	0.541440377467599	0.372992188578087	1.45161318131532	0.14660919156408	0.469301719221244
AIPGENE10034	26.11367668925	-0.0945630575384883	0.392459577537933	-0.240949802096111	0.809594022484437	0.934641303435474
AIPGENE10035	65.8685243809803	-0.0576658247637008	0.148059995522219	-0.38947606718688	0.696924011426257	0.890039537860679
AIPGENE10036	275.315764943034	-0.229988624708477	0.110246211185393	-2.08613631466864	0.0369662770335357	0.226664595167084
AIPGENE10037	1.94525542385192	-0.401620718246353	0.894470866399739	-0.449003688474375	0.653428995859543	NA
AIPGENE10038	98.8173258972593	-0.241034909752498	0.140299164788198	-1.71800673308623	0.0857953871681381	0.354965251761104
AIPGENE10039	0.716758240358273	0.0321401720245735	1.25265700282057	0.0256575997676974	0.979530443196665	NA
AIPGENE1004	1.85095859628105	-1.06096048261222	0.955203693841107	-1.11071647801721	0.266690407176115	NA
