baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AIPGENE10	1.42972764961	0.986058179248301	0.930729067763806	1.05944706510288	0.289396224843679	NA
AIPGENE100	0.0413840992564291	0	5.8423699093395	0	1	NA
AIPGENE1000	1.48110318828028	-0.466847015525751	0.974646394854013	-0.478991168479802	0.631944911464407	NA
AIPGENE10000	44.8704083591376	0.0253692904142667	0.190041965923237	0.133493096069707	0.893803423943583	0.968136315877729
AIPGENE10001	3.86794158349404	-0.78364580454621	0.592240806081213	-1.32318779202585	0.185772934776074	0.520331889855409
AIPGENE10002	145.272743676908	0.332048748809298	0.155783011918076	2.13148240440952	0.0330494205109449	0.206962307298066
AIPGENE10003	2.63387123261006	-1.14050037026971	0.801955717940868	-1.42214881040826	0.154983055546664	NA
AIPGENE10004	17.5436509284815	0.501931751068323	0.289706889935296	1.73255027238195	0.0831756343443099	0.349076200000031
AIPGENE10005	1.3441266294002	1.32066540416587	0.994501519217505	1.32796720632966	0.184188940747967	NA
AIPGENE10006	13.8175648549091	0.0743014846185667	0.298312576479281	0.249072585190612	0.803304635156573	0.937382634747131
AIPGENE10007	14.9976265399836	0.13839688013316	0.320605618310901	0.431673284025087	0.665978887231496	0.881779640192425
AIPGENE10008	470.011908026712	0.658957620868995	0.18489416806149	3.56397190770152	0.000365285066254809	0.00758974904660192
AIPGENE10009	2.32308840779838	-0.576299646882527	0.706602624984119	-0.815592281298813	0.414733365563878	NA
AIPGENE1001	2.01420077200399	-0.967807689931957	1.07848582755883	-0.897376363417405	0.369518120809143	NA
AIPGENE10010	61.195858322268	-0.188099467017224	0.160852439411476	-1.16939144787259	0.242245953890968	0.590850868070694
AIPGENE10011	1.29727755289325	-0.781233483514204	1.02017468875807	-0.765784029071784	0.443804818667541	NA
AIPGENE10012	75.7798413543448	0.0891551349306028	0.160096848197316	0.556882511645206	0.577607704017417	0.836778088771558
AIPGENE10013	0.285160539706706	1.18600235191123	2.02740778540868	0.584984609631536	0.558558065273867	NA
AIPGENE10014	14.8983700876749	0.450101379707029	0.291703570106726	1.54300949948042	0.122828471072657	0.428308742631435
AIPGENE10015	1.31467429709274	0.0173644415955354	1.27262736998209	0.0136445608550599	0.989113553351488	NA
AIPGENE10016	9.52389721809853	1.17194856733091	0.370234021485903	3.16542645818283	0.00154855802202702	0.0243935329427235
AIPGENE10017	8.78463169730428	0.42203941475407	0.362061957966271	1.16565522963168	0.243753868163643	0.592399732117192
AIPGENE10018	0.895510328426836	-1.69120884173034	1.13099276120681	-1.49533126978263	0.134828008099522	NA
AIPGENE10019	1.93702932181372	-1.78493461739021	0.962080315871013	-1.85528649525921	0.0635553256632161	NA
AIPGENE1002	5.89983747303452	-0.274257352421652	0.496194727415365	-0.552721214613131	0.580454324247818	0.837996926412676
AIPGENE10020	119.360039413946	0.0802135905197773	0.11945553239849	0.671493307251725	0.50190632164283	0.789448752546146
AIPGENE10021	2.26148018350428	0.50728176499128	0.775562361118152	0.654082496035414	0.513058657963474	NA
AIPGENE10022	16.9155215910539	0.407609482872635	0.287597944234803	1.41728927846526	0.156398368520198	0.479920238594007
AIPGENE10023	0.374388207351055	-1.41813664147486	1.81591034717745	-0.780950801717237	0.434831431274871	NA
AIPGENE10024	42.762006620919	-0.338675950554237	0.205680193084107	-1.64661431650711	0.0996373458883795	0.383300210162949
AIPGENE10025	1319.14805196981	0.164331297756294	0.10345124660718	1.58849026131397	0.112175521489747	0.407383476928652
AIPGENE10026	0.478849558749941	-0.545228532057681	1.63372635384959	-0.333733082515897	0.738580983198975	NA
AIPGENE10027	0.316612919930207	0.608925705243099	1.87272415410099	0.325155044275817	0.745063730992696	NA
AIPGENE10028	6.17221635901661	-0.0714696932582709	0.451506622437332	-0.158291572496682	0.874227048597196	0.961084587545949
AIPGENE10029	313.786123446643	0.777100046186622	0.279443084709376	2.78088844816043	0.00542103612853604	0.0603952369778352
AIPGENE1003	12.343553009036	-0.829090277769893	0.418428700889758	-1.98143740141844	0.0475422429058155	0.255907034393541
AIPGENE10030	2.59022646488836	-0.101820489315426	0.678424164027961	-0.150083818817558	0.880698486093173	NA
AIPGENE10031	60.5888398759733	-0.0587753505269987	0.176281852309507	-0.333416910231938	0.738819600202767	0.913735280797469
AIPGENE10033	10.1514902854847	-0.239303078685661	0.356475281955595	-0.671303427752025	0.502027251468165	0.789448752546146
AIPGENE10034	26.11367668925	-0.421073899298708	0.312615085252726	-1.34694043621824	0.177999416976575	0.509535062164227
AIPGENE10035	65.8685243809803	0.0374438219808145	0.149318221469679	0.250765255655138	0.801995605371986	0.937147888679167
AIPGENE10036	275.315764943034	0.235614838950975	0.108140435350436	2.17878574455013	0.0293475884451394	0.193370352242121
AIPGENE10037	1.94525542385192	-1.00523177264398	0.792512234451701	-1.26841167737864	0.204650973638167	NA
AIPGENE10038	98.8173258972593	0.181878166182081	0.134711677385455	1.35012917745554	0.176974550667422	0.507671976271746
AIPGENE10039	0.716758240358273	0.0318487209032773	1.4987114838001	0.0212507352132396	0.983045642557551	NA
AIPGENE1004	1.85095859628105	0.113412725995921	0.776630526395907	0.146031764322005	0.883896312908042	NA
AIPGENE10040	3.30375605271892	0.667743776965642	0.544878000410262	1.22549226884343	0.220389801232128	NA
AIPGENE10041	33.232429726487	0.692705686589071	0.195165581608904	3.54932299475426	0.000386223023994918	0.00794293006922881
AIPGENE10042	11.1908849817107	0.334866792159412	0.32712999783523	1.02365051929013	0.30600037434401	0.652387062746712
