"Gene","Presence"
"AIPGENE1064",0
"AIPGENE10640",0
"AIPGENE10641",0
"AIPGENE10643",0
"AIPGENE10644",0
"AIPGENE10649",0
"AIPGENE1065",0
"AIPGENE10650",0
"AIPGENE10652",0
"AIPGENE10653",0
"AIPGENE10654",0
"AIPGENE10655",0
"AIPGENE10657",0
"AIPGENE10660",0
"AIPGENE10661",0
"AIPGENE10662",0
"AIPGENE10663",0
"AIPGENE10666",0
"AIPGENE10670",0
"AIPGENE10673",0
"AIPGENE10675",0
"AIPGENE10676",0
"AIPGENE10677",0
"AIPGENE10678",0
"AIPGENE10680",0
"AIPGENE10684",0
"AIPGENE10685",0
"AIPGENE10686",0
"AIPGENE10687",0
"AIPGENE10688",0
"AIPGENE10689",0
"AIPGENE10690",0
"AIPGENE10691",0
"AIPGENE10692",0
"AIPGENE10694",0
"AIPGENE10697",0
"AIPGENE10700",0
"AIPGENE10707",0
"AIPGENE10708",0
"AIPGENE1071",0
"AIPGENE10717",0
"AIPGENE10718",0
"AIPGENE10719",0
"AIPGENE10720",0
"AIPGENE10722",0
"AIPGENE10723",0
"AIPGENE10731",0
"AIPGENE10733",0
"AIPGENE10735",0
"AIPGENE10738",0
"AIPGENE10739",0
"AIPGENE10740",0
"AIPGENE10742",0
"AIPGENE10749",0
"AIPGENE10751",0
"AIPGENE10752",0
"AIPGENE10759",0
"AIPGENE10760",0
"AIPGENE10763",0
"AIPGENE10764",0
"AIPGENE10773",0
"AIPGENE1079",0
"AIPGENE1080",0
"AIPGENE10800",0
"AIPGENE10808",0
"AIPGENE1081",0
"AIPGENE10818",0
"AIPGENE1082",0
"AIPGENE10821",0
"AIPGENE1084",0
"AIPGENE10852",0
"AIPGENE10853",0
"AIPGENE10859",0
"AIPGENE1086",0
"AIPGENE10860",0
"AIPGENE10867",0
"AIPGENE10868",0
"AIPGENE1087",0
"AIPGENE10874",0
"AIPGENE10875",0
"AIPGENE1088",0
"AIPGENE10880",0
"AIPGENE10882",0
"AIPGENE10883",0
"AIPGENE10884",0
"AIPGENE10885",0
"AIPGENE10886",0
"AIPGENE10888",0
"AIPGENE10889",0
"AIPGENE1089",0
"AIPGENE10891",0
"AIPGENE10892",0
"AIPGENE10893",0
"AIPGENE10895",0
"AIPGENE10899",0
"AIPGENE10900",0
"AIPGENE10901",0
"AIPGENE10902",0
"AIPGENE10906",0
"AIPGENE10908",0
"AIPGENE10914",0
"AIPGENE10915",0
"AIPGENE10916",0
"AIPGENE10917",0
"AIPGENE10918",0
"AIPGENE10921",0
"AIPGENE10922",0
"AIPGENE10923",0
"AIPGENE10924",0
"AIPGENE10925",0
"AIPGENE10928",0
"AIPGENE10929",0
"AIPGENE1093",0
"AIPGENE10930",0
"AIPGENE10932",0
"AIPGENE10933",0
"AIPGENE10934",0
"AIPGENE10937",0
"AIPGENE10944",0
"AIPGENE10945",0
"AIPGENE10946",0
"AIPGENE1095",0
"AIPGENE10950",0
"AIPGENE10951",0
"AIPGENE10953",0
"AIPGENE10954",0
"AIPGENE10955",0
"AIPGENE10956",0
"AIPGENE10957",0
"AIPGENE10958",0
"AIPGENE10959",0
"AIPGENE10963",0
"AIPGENE10966",0
"AIPGENE10967",0
"AIPGENE10969",0
"AIPGENE10970",0
"AIPGENE10971",0
"AIPGENE10972",0
"AIPGENE10975",0
"AIPGENE10976",0
"AIPGENE10977",0
"AIPGENE1098",0
"AIPGENE10980",0
"AIPGENE10987",0
"AIPGENE10988",0
"AIPGENE10989",0
"AIPGENE1099",0
"AIPGENE10991",0
"AIPGENE10992",0
"AIPGENE10993",0
"AIPGENE11011",0
"AIPGENE11018",0
"AIPGENE11020",0
"AIPGENE11024",0
"AIPGENE11035",0
"AIPGENE11037",0
"AIPGENE11041",0
"AIPGENE11043",0
"AIPGENE1105",0
"AIPGENE11057",0
"AIPGENE11058",0
"AIPGENE1106",0
"AIPGENE11066",0
"AIPGENE11067",0
"AIPGENE11075",0
"AIPGENE11076",0
"AIPGENE1109",1
"AIPGENE11091",0
"AIPGENE11092",0
"AIPGENE11094",0
"AIPGENE11097",0
"AIPGENE11099",0
"AIPGENE111",0
"AIPGENE11100",0
"AIPGENE11101",0
"AIPGENE11102",0
"AIPGENE11104",0
"AIPGENE11105",0
"AIPGENE11107",0
"AIPGENE11109",0
"AIPGENE11111",0
"AIPGENE11113",0
"AIPGENE11114",0
"AIPGENE11116",0
"AIPGENE11118",0
"AIPGENE11121",0
"AIPGENE11122",0
"AIPGENE11123",0
"AIPGENE11124",0
"AIPGENE11126",0
"AIPGENE11127",0
"AIPGENE1113",0
"AIPGENE11132",0
"AIPGENE11137",0
"AIPGENE11139",0
"AIPGENE1114",0
"AIPGENE11141",0
"AIPGENE1115",0
"AIPGENE1116",0
"AIPGENE11163",0
"AIPGENE11167",0
"AIPGENE11168",0
"AIPGENE1117",0
"AIPGENE11170",0
"AIPGENE11171",0
"AIPGENE11172",0
"AIPGENE11173",0
"AIPGENE11174",0
"AIPGENE11175",0
"AIPGENE1118",0
"AIPGENE11182",0
"AIPGENE11183",0
"AIPGENE11184",0
"AIPGENE11186",0
"AIPGENE11188",0
"AIPGENE1119",0
"AIPGENE11193",0
"AIPGENE11194",0
"AIPGENE11195",0
"AIPGENE11197",0
"AIPGENE112",0
"AIPGENE1120",0
"AIPGENE11201",0
"AIPGENE11204",0
"AIPGENE11207",0
"AIPGENE11211",0
"AIPGENE11213",0
"AIPGENE11215",0
"AIPGENE11218",0
"AIPGENE1122",0
"AIPGENE11222",0
"AIPGENE11225",0
"AIPGENE1123",0
"AIPGENE11230",0
"AIPGENE11236",0
"AIPGENE11237",0
"AIPGENE11263",0
"AIPGENE1128",0
"AIPGENE11280",0
"AIPGENE11281",0
"AIPGENE11282",0
"AIPGENE11286",0
"AIPGENE11288",0
"AIPGENE11289",0
"AIPGENE11293",0
"AIPGENE1130",0
"AIPGENE11310",0
"AIPGENE11311",0
"AIPGENE11314",0
"AIPGENE11315",0
"AIPGENE11319",0
"AIPGENE11324",0
"AIPGENE11325",0
"AIPGENE11327",0
"AIPGENE11329",0
"AIPGENE11330",0
"AIPGENE11332",0
"AIPGENE11334",0
"AIPGENE11335",0
"AIPGENE11336",0
"AIPGENE11337",0
"AIPGENE11338",0
"AIPGENE11341",0
"AIPGENE11342",0
"AIPGENE11343",0
"AIPGENE11345",0
"AIPGENE11349",0
"AIPGENE1135",0
"AIPGENE11350",0
"AIPGENE11352",0
"AIPGENE11354",0
"AIPGENE11356",0
"AIPGENE11358",0
"AIPGENE1136",0
"AIPGENE11360",0
"AIPGENE11362",0
"AIPGENE11363",0
"AIPGENE11365",0
"AIPGENE11371",0
"AIPGENE11375",0
"AIPGENE11376",0
"AIPGENE11378",0
"AIPGENE11382",0
"AIPGENE11383",0
"AIPGENE11389",0
"AIPGENE11392",0
"AIPGENE11395",0
"AIPGENE11396",0
"AIPGENE1140",0
"AIPGENE11406",0
"AIPGENE11407",0
"AIPGENE11408",0
"AIPGENE11409",0
"AIPGENE11410",0
"AIPGENE11417",0
"AIPGENE11419",0
"AIPGENE1142",0
"AIPGENE11420",0
"AIPGENE11425",0
"AIPGENE11426",0
"AIPGENE11428",0
"AIPGENE1143",0
"AIPGENE11433",0
"AIPGENE11434",0
"AIPGENE11436",0
"AIPGENE11442",0
"AIPGENE11464",0
"AIPGENE11467",0
"AIPGENE11469",0
"AIPGENE1147",0
"AIPGENE11470",0
"AIPGENE11471",0
"AIPGENE11472",0
"AIPGENE11477",0
"AIPGENE1148",0
"AIPGENE11482",0
"AIPGENE11485",0
"AIPGENE11488",0
"AIPGENE1149",0
"AIPGENE11491",0
"AIPGENE11493",0
"AIPGENE11499",0
"AIPGENE11501",0
"AIPGENE11503",0
"AIPGENE11505",0
"AIPGENE11507",0
"AIPGENE11512",0
"AIPGENE11519",0
"AIPGENE11521",0
"AIPGENE11522",0
"AIPGENE11523",0
"AIPGENE11524",0
"AIPGENE11525",0
"AIPGENE11527",0
"AIPGENE11530",0
"AIPGENE11532",0
"AIPGENE11533",0
"AIPGENE11538",0
"AIPGENE11540",0
"AIPGENE11541",0
"AIPGENE11543",0
"AIPGENE11544",0
"AIPGENE11548",0
"AIPGENE11549",0
"AIPGENE11551",0
"AIPGENE11552",0
"AIPGENE11556",0
"AIPGENE11557",0
"AIPGENE11558",0
"AIPGENE11559",0
"AIPGENE1156",0
"AIPGENE11561",0
"AIPGENE11562",0
"AIPGENE11563",0
"AIPGENE11564",0
"AIPGENE11569",0
"AIPGENE11570",0
"AIPGENE11574",0
"AIPGENE11576",0
"AIPGENE11577",0
"AIPGENE11578",0
"AIPGENE11580",0
"AIPGENE11583",0
"AIPGENE11585",0
