Gene,Presence
AIPGENE10587,0
AIPGENE10589,0
AIPGENE10590,0
AIPGENE10592,0
AIPGENE10596,0
AIPGENE10598,0
AIPGENE10601,0
AIPGENE10602,0
AIPGENE10603,0
AIPGENE10604,0
AIPGENE10605,0
AIPGENE10606,0
AIPGENE10608,0
AIPGENE10611,1
AIPGENE10612,1
AIPGENE10614,0
AIPGENE10618,0
AIPGENE10619,1
AIPGENE10623,1
AIPGENE10625,0
AIPGENE1063,0
AIPGENE10630,0
AIPGENE10639,0
AIPGENE1064,1
AIPGENE10640,1
AIPGENE10641,0
AIPGENE10644,0
AIPGENE10649,0
AIPGENE1065,0
AIPGENE10650,0
AIPGENE10651,0
AIPGENE10652,0
AIPGENE10653,0
AIPGENE10655,0
AIPGENE10657,0
AIPGENE10661,0
AIPGENE10662,0
AIPGENE10663,0
AIPGENE10666,1
AIPGENE10670,0
AIPGENE10671,0
AIPGENE10673,0
AIPGENE10675,1
AIPGENE10676,1
AIPGENE10677,0
AIPGENE10678,0
AIPGENE10680,0
AIPGENE10684,1
AIPGENE10685,0
AIPGENE10686,0
AIPGENE10687,0
AIPGENE10688,0
AIPGENE10689,1
AIPGENE10690,0
AIPGENE10691,1
AIPGENE10692,0
AIPGENE10694,0
AIPGENE10697,1
AIPGENE10700,0
AIPGENE10703,0
AIPGENE10707,1
AIPGENE10708,0
AIPGENE1071,0
AIPGENE10717,0
AIPGENE10718,0
AIPGENE10719,0
AIPGENE10720,0
AIPGENE10722,0
AIPGENE10723,0
AIPGENE10729,1
AIPGENE10730,1
AIPGENE10731,0
AIPGENE10733,0
AIPGENE10735,0
AIPGENE10738,0
AIPGENE10739,0
AIPGENE10740,0
AIPGENE10742,0
AIPGENE10743,0
AIPGENE10747,1
AIPGENE10749,0
AIPGENE10751,0
AIPGENE10752,0
AIPGENE10759,0
AIPGENE10760,0
AIPGENE10763,0
AIPGENE10764,0
AIPGENE10773,0
AIPGENE10780,0
AIPGENE1079,0
AIPGENE10795,0
AIPGENE10797,0
AIPGENE1080,0
AIPGENE10800,1
AIPGENE10808,0
AIPGENE1081,1
AIPGENE10810,0
AIPGENE10818,1
AIPGENE1082,0
AIPGENE10821,0
AIPGENE10825,0
AIPGENE10830,0
AIPGENE1084,0
AIPGENE10852,0
AIPGENE10853,1
AIPGENE10859,0
AIPGENE1086,1
AIPGENE10860,0
AIPGENE10867,0
AIPGENE10868,0
AIPGENE1087,0
AIPGENE10874,0
AIPGENE10875,0
AIPGENE10878,0
AIPGENE1088,0
AIPGENE10880,0
AIPGENE10882,0
AIPGENE10883,0
AIPGENE10884,0
AIPGENE10885,0
AIPGENE10888,0
AIPGENE10889,0
AIPGENE1089,0
AIPGENE10890,0
AIPGENE10891,1
AIPGENE10892,0
AIPGENE10893,0
AIPGENE10895,0
AIPGENE10898,0
AIPGENE10899,1
AIPGENE10900,1
AIPGENE10901,0
AIPGENE10902,0
AIPGENE10903,0
AIPGENE10904,1
AIPGENE10906,0
AIPGENE10908,1
AIPGENE10914,0
AIPGENE10915,0
AIPGENE10916,0
AIPGENE10917,0
AIPGENE10918,0
AIPGENE10921,0
AIPGENE10922,1
AIPGENE10924,0
AIPGENE10925,1
AIPGENE10928,0
AIPGENE10929,1
AIPGENE10930,1
AIPGENE10932,0
AIPGENE10933,0
AIPGENE10934,0
AIPGENE10937,0
AIPGENE10944,0
AIPGENE10945,1
AIPGENE10946,0
AIPGENE1095,0
AIPGENE10950,0
AIPGENE10951,0
AIPGENE10953,0
AIPGENE10954,1
AIPGENE10955,1
AIPGENE10956,0
AIPGENE10957,0
AIPGENE10958,0
AIPGENE10959,1
AIPGENE10962,0
AIPGENE10963,0
AIPGENE10966,0
AIPGENE10967,0
AIPGENE10969,1
AIPGENE10970,0
AIPGENE10971,0
AIPGENE10972,0
AIPGENE10975,1
AIPGENE10976,0
AIPGENE10977,0
AIPGENE1098,0
AIPGENE10980,0
AIPGENE10986,0
AIPGENE10987,0
AIPGENE10988,0
AIPGENE10989,1
AIPGENE1099,0
AIPGENE10992,0
AIPGENE10993,1
AIPGENE11011,1
AIPGENE11018,1
AIPGENE11019,0
AIPGENE11020,0
AIPGENE11024,1
AIPGENE11035,0
AIPGENE11037,0
AIPGENE11041,0
AIPGENE11042,0
AIPGENE11043,1
AIPGENE1105,0
AIPGENE11057,1
AIPGENE11058,1
AIPGENE1106,1
AIPGENE11066,0
AIPGENE11067,0
AIPGENE11075,0
AIPGENE11076,1
AIPGENE1108,0
AIPGENE1109,0
AIPGENE11090,1
AIPGENE11091,1
AIPGENE11092,0
AIPGENE11094,0
AIPGENE11096,0
AIPGENE11097,1
AIPGENE11098,1
AIPGENE11099,0
AIPGENE111,0
AIPGENE1110,0
AIPGENE11100,0
AIPGENE11102,0
AIPGENE11104,0
AIPGENE11105,1
AIPGENE11107,1
AIPGENE11108,0
AIPGENE11109,1
AIPGENE1111,0
AIPGENE11111,0
AIPGENE11113,0
AIPGENE11114,0
AIPGENE11116,0
AIPGENE11118,0
AIPGENE1112,0
