,Sym_MMdarkgreen,Sym_MMpink,Sym_MMred,Sym_MMdarkturquoise,Sym_MMgreen,Sym_MMblue,Sym_MMlightyellow,Sym_MMbrown,Sym_MMlightcyan,Sym_MMcyan,Sym_MMgreenyellow,Sym_MMblack,Sym_MMdarkred,Sym_MMturquoise,Sym_MMmagenta,Sym_MMroyalblue
AIPGENE10000,0.200770229538711,0.108072823121566,0.269386649050768,-0.178331440475075,-0.0926920117263128,-0.404402733773401,-0.464040938454214,0.0780507992538134,0.494599935925739,0.457917110658283,0.293361232205234,-0.147934555712361,0.304622193557858,-0.152497660904432,-0.436547834418645,-0.0240660659988188
AIPGENE10001,0.155212455489656,0.558439475814237,0.0996009727979947,0.36412253234808,0.315911387962985,0.346195856650884,0.294663060028181,-0.479409635102247,-0.370695712318305,-0.200052459888448,0.0881523784295485,-0.224775088226239,-0.0429988761544413,-0.40967633847303,0.226455311112395,0.254633859785817
AIPGENE10002,-0.245737855961807,-0.583747541406396,0.0239124925237464,0.190837209881361,0.077599395172304,-0.266275063246291,-0.370997409709283,0.130843544168255,-0.170807993097537,-0.0306671103301143,-0.668880504035877,0.889368539463884,-0.180640924981559,0.209550343102145,0.218834646122551,-0.486357569539403
AIPGENE10004,-0.225076289331244,-0.192045942100221,-0.0463862759821647,-0.196059869951497,-0.370707305126588,-0.0498495590039822,-0.183120365963752,0.345435956001575,-0.0319126783126293,0.203873111864259,0.156928359854016,0.047787498250682,-0.2164782827514,0.180107894202604,0.0593027570222577,0.013335428133416
AIPGENE10006,0.103426295242406,-0.302660082669288,0.0112876958893442,0.236970239058838,0.10559880978203,-0.0588673437298178,0.263528508478032,0.0532925860719715,0.256696019969905,-0.275696628726673,-0.606740544902042,0.484544236756215,-0.139166592140514,0.0563080671967104,-0.336851306688521,-0.402965778251086
AIPGENE10007,-0.3450712718543,-0.0203172914836299,-0.172503965584833,-0.345007437618432,0.0544902486216257,-0.0472172177358681,0.0498919722429235,0.010727808931465,-0.362143407638046,0.334011386777089,0.180606542609385,-0.0875586595327426,-0.0663366920185866,0.186027832793002,0.521990382368126,0.305745273871008
AIPGENE10008,-0.361637600235076,-0.432768679298162,-0.175839427248415,-0.531742331477529,-0.490236066527529,-0.393701712021734,-0.35414375552819,0.584103643324638,0.178522683975317,0.373295046156811,0.33228413328315,0.0402826917183733,-0.0388373726453912,0.460999419159388,0.125913739065187,0.0257014717916086
AIPGENE10010,0.0938086903338662,0.117179756082205,0.495605842772154,0.483957189254902,0.0479932178710831,0.122021103636455,0.125406212008595,-0.0991164011009407,0.0878527673797125,-0.117861103154798,-0.372833057988103,0.193594846490601,-0.27623698375885,-0.513532598616223,-0.244577506721774,-0.577190902855236
AIPGENE10012,0.194604057454865,-0.0506914266291758,0.144222791508433,-0.00720107558830171,-0.244137786845563,-0.223830582207458,0.0552798817927569,0.287741132261196,0.524032331055976,0.0877246171136504,0.00126585490252072,0.0764831222075764,0.0707273346608752,-0.0605489986113456,-0.542564196049786,-0.320360878735159
AIPGENE10014,0.0174767382583125,-0.000620427223186119,-0.126917819371356,-0.580507634041091,-0.496805010438838,-0.276839579146177,-0.116159807089944,0.457551659095934,0.463803204804558,0.233364888869449,0.700379485558004,-0.535695207199203,0.231221388272764,0.265457534043512,-0.266671794216772,0.2650778074835
