"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.716528200496245 4 12 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.449251000001618 3 15 "GO:0001756" "somitogenesis" 0.961152649663325
0 0.633009709044873 4 43 "GO:0001764" "neuron migration" 1
0 0.0013288897111425 2 126 "GO:0001775" "cell activation" 0.0343508888346013
0 0.0125852686855437 3 10 "GO:0001776" "leukocyte homeostasis" 0.173209176531712
0 0.449251000001618 2 15 "GO:0001816" "cytokine production" 0.961152649663325
0 0.000295326477536363 3 94 "GO:0001817" "regulation of cytokine production" 0.011373082920635
0 0.0927860236504039 2 32 "GO:0001818" "negative regulation of cytokine production" 0.470664587710517
0 0.0175044297921781 2 41 "GO:0001819" "positive regulation of cytokine production" 0.207741251684529
0 0.145126364832505 2 69 "GO:0001822" "kidney development" 0.604533003176461
0 0.182594783010024 2 15 "GO:0001824" "blastocyst development" 0.671649815867281
0 1 2 11 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.32107612591989 2 20 "GO:0001837" "epithelial to mesenchymal transition" 0.85213874769456
0 0.11366752573977 3 19 "GO:0001838;GO:0072175" "epithelial tube formation" 0.529606471780114
0 0.0887001716491048 2 11 "GO:0001841" "neural tube formation" 0.46109428072138
0 0.0270973556776383 3 44 "GO:0001843;GO:0060606" "neural tube closure" 0.263570670946925
0 0.650202002592292 2 10 "GO:0001885" "endothelial cell development" 1
0 0.266630485741343 4 35 "GO:0001889" "liver development" 0.776437849681966
0 0.326521091550806 2 29 "GO:0001894" "tissue homeostasis" 0.852408970083616
0 0.65924563134374 2 22 "GO:0001906;GO:0031640;GO:0141061;GO:0141060;GO:0044364;GO:0019835;GO:0044179;GO:0051715" "cell killing" 1
0 0.413696837736072 4 14 "GO:0001919" "regulation of receptor recycling" 0.916251094845033
0 0.0815254532511789 9 94 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.452950601292462
0 0.706084119366235 6 24 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.377031001090568 3 13 "GO:0001944" "vasculature development" 0.87592384283741
0 0.0591797188457121 5 43 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.379837175040336
0 0.483550827459935 6 16 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 1 3 10 "GO:0001958;GO:0036075" "replacement ossification" 1
0 1 5 18 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 1 6 13 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.08320875235166 4 145 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.455664907880929
0 0.413696837736072 2 14 "GO:0002011" "morphogenesis of an epithelial sheet" 0.916251094845033
0 0.685104432414737 2 11 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.548007412059256 5 18 "GO:0002027" "regulation of heart rate" 1
0 1 2 14 "GO:0002028" "regulation of sodium ion transport" 1
0 0.685104432414737 3 11 "GO:0002040" "sprouting angiogenesis" 1
0 0.770290618091127 3 14 "GO:0002062" "chondrocyte differentiation" 1
0 0.509391788946462 4 47 "GO:0002064" "epithelial cell development" 1
0 0.339442983518145 2 12 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.854038546531653
0 1 5 14 "GO:0002066" "columnar/cuboidal epithelial cell development" 1
0 1 2 13 "GO:0002090;GO:0002092" "regulation of receptor internalization" 1
0 0.00698826976728612 3 42 "GO:0002218;GO:0002221;GO:0002758" "activation of innate immune response" 0.117548280181293
0 0.0326815438771182 3 25 "GO:0002224" "toll-like receptor signaling pathway" 0.296996912518672
0 0.128564752526745 3 59 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 0.575681998904228
0 0.633664164933566 2 21 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 0.157035981217548 2 14 "GO:0002250;GO:0002460" "adaptive immune response" 0.624359657382769
0 0.000122450752223322 2 95 "GO:0002252" "immune effector process" 0.00608064656435286
0 1.24842026984119e-06 5 84 "GO:0002253;GO:0002757;GO:0002764" "immune response-regulating signaling pathway" 0.000196314087432527
0 0.00919387146801065 3 25 "GO:0002263;GO:0002366" "leukocyte activation involved in immune response" 0.136151566872215
0 0.0611263561004012 3 22 "GO:0002274" "myeloid leukocyte activation" 0.384212412668338
0 0.0276685194289723 2 18 "GO:0002285;GO:0002312" "lymphocyte activation involved in immune response" 0.265027899301882
0 0.00014204364793417 2 10 "GO:0002335" "mature B cell differentiation" 0.00670090909129447
0 4.29182558701652e-07 1 373 "GO:0002376" "immune system process" 8.99852764744464e-05
0 0.000867905707345335 4 38 "GO:0002429" "immune response-activating cell surface receptor signaling pathway" 0.0233962581394378
0 0.00631836494386061 2 13 "GO:0002443" "leukocyte mediated immunity" 0.110395876380231
0 0.84918469336046 2 18 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
0 0.864247673556193 2 19 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide antigen via MHC class II" 1
0 0.877807876419075 2 20 "GO:0002526;GO:0006953" "acute inflammatory response" 1
0 0.0424233909866977 2 20 "GO:0002573" "myeloid leukocyte differentiation" 0.336485671030215
0 0.0166652693443702 3 16 "GO:0002576" "platelet degranulation" 0.200301676769596
0 2.70516277657497e-05 3 214 "GO:0002682" "regulation of immune system process" 0.00196332390746037
0 0.327050394457095 4 38 "GO:0002683" "negative regulation of immune system process" 0.852408970083616
0 1.64452241529204e-06 4 127 "GO:0002684" "positive regulation of immune system process" 0.000238708753665852
0 0.182594783010024 3 15 "GO:0002685" "regulation of leukocyte migration" 0.671649815867281
