,MMblack,MMgreen,MMturquoise,MMyellow,MMpurple,MMred,MMmagenta,MMpink,MMblue,MMbrown
AIPGENE10000,0.377757440943147,-0.162647780321289,-0.258138742869368,-0.259872184062649,-0.172879567439244,0.000664490594153834,-0.216459617202637,0.0463715458026253,0.320030091358864,-0.062151685880458
AIPGENE10001,0.0848350749385301,0.00132291532300137,0.06721315457901,-0.0682982631778789,-0.146507599785478,-0.267843394115352,0.143298261192139,0.021432067631399,-0.0904575077191239,0.243774050206476
AIPGENE10002,0.25036500108004,-0.21892339149209,-0.7530128737486,-0.386709937569023,-0.328521699881234,0.219913226455024,-0.300658474751499,0.207910413378631,0.810103334616293,0.276121828564656
AIPGENE10004,0.102185302592596,-0.294930658300036,-0.526947678622699,-0.264840885519462,-0.0263276306644025,0.319835902088063,-0.4338204927982,-0.0454587945217601,0.554596827710431,0.236723064879141
AIPGENE10006,-0.202998725074783,-0.35185138677286,-0.116195434252133,0.0432772903211086,-0.0857832212528258,0.125788928124645,0.20903470085539,0.222777283322957,0.180023583401825,-0.0861769742216971
AIPGENE10007,0.0238369974364002,0.562460183743854,0.262877429403789,0.185092939490799,0.21675409530718,-0.0504469281087132,0.0596629403570729,-0.0838380428055609,-0.297865673204047,-0.242661564536266
AIPGENE10008,-0.32986397287114,0.282181070721456,0.487305598158828,0.592843653192201,0.542819828049609,0.236975730399381,-0.0624829201788106,-0.405967425007233,-0.477929752527756,-0.441910580519534
AIPGENE10010,0.313118655390622,-0.171055914742233,-0.0657342758829762,-0.418888980324062,-0.532885486935912,-0.235289323009157,0.0287292162704638,0.150516456188214,0.167365046135032,-0.0215856160660855
AIPGENE10012,-0.0996634740298207,-0.704157334113993,-0.358112205055408,-0.101944284217215,-0.158210241539324,0.198890849523153,-0.00976968488381321,0.259927859955518,0.43910828847237,0.0865232512168915
AIPGENE10014,-0.294329577053292,-0.0112295741161681,0.533012068182714,0.479949302196814,0.463432809221585,0.137716122966522,0.000756111099303912,-0.354216589387221,-0.514527424983464,-0.440136311622223
AIPGENE10016,-0.191274400992278,-0.0683736483594292,-0.29213473074197,0.253694986069982,0.262558485497933,0.535976691455278,-0.31010939362856,-0.129030156770968,0.263542779297555,-0.0664102224864462
AIPGENE10017,-0.144540743055632,0.127797096557751,0.133386883384887,0.209864227229125,0.398429205884201,0.24287730461098,-0.246099744410399,-0.389029071543069,-0.215575605719734,-0.0313845075383832
AIPGENE1002,-0.154275702884035,0.190298726594601,-0.103630148429818,-0.101486306876178,0.0678166908333062,0.0242537736951209,0.00302418536269233,0.0736936223854428,-0.0362487035138779,0.429558047447513
AIPGENE10020,-0.0103804537095326,0.111396893174537,0.481068548109272,0.147739147064865,0.332326092926863,0.0518670321942982,-0.139171234176806,-0.425880213794155,-0.440275734669391,-0.370859323142306
AIPGENE10022,0.343022971426967,0.022480710479528,0.215593941157755,-0.0728904476599357,-0.0922710972257116,-0.10374545041268,-0.337868638510717,-0.467715620318508,-0.176400705897392,-0.101823140021834
AIPGENE10024,0.0810237627646324,-0.263114369711526,-0.479449275341415,-0.376618258461388,-0.315187204854637,-0.0628471220793967,0.00952239451566412,0.323291482385032,0.459665875992931,0.445829647259494
AIPGENE10025,0.0801991144417285,0.31977375698139,-0.471281736335677,-0.160948449972775,0.168355242702799,0.385988579191976,-0.446342746839875,-0.141263186770417,0.356437117281569,0.297590864480113
AIPGENE10028,-0.265951421203468,0.0498255252494769,0.283938938958901,0.296346027697046,0.466014733880046,0.0867826486418097,-0.0575189714832433,-0.264582696994727,-0.381789270925517,0.129393728519449
AIPGENE10029,-0.201241574582963,0.496232894848126,0.878327000510565,0.691950815339371,0.375531260440148,-0.201896744938692,0.313507956163834,-0.351401604521272,-0.86397169270467,-0.616077852071445
AIPGENE1003,0.179445672173171,-0.297148549459001,-0.538549692449585,-0.537393487450778,-0.417329188073855,-0.125794225249833,-0.023329760185951,0.397549132526231,0.50442791591986,0.571827410258837
AIPGENE10031,-0.0699952589523126,-0.516233718936591,-0.216707518836887,-0.0543250964031653,-0.135178869835023,-0.0233964219049445,0.082675841835282,0.161108648113212,0.205445770083445,0.289221890206361
AIPGENE10033,-0.17747743353025,0.160110885126682,0.099027663330999,0.0509551133633519,0.242817382636198,0.102447409689331,0.00702703089480887,-0.0720424421054621,-0.194157168547378,0.0926184960994469
AIPGENE10034,-0.172998838566457,0.380805384789518,0.773992090873641,0.468948727992921,0.18719672259655,-0.421739301755338,0.448493702018247,-0.105626555168267,-0.772313094726485,-0.399188552687765
AIPGENE10035,0.131788422888862,-0.440223379162195,-0.357717475851722,-0.253707609991029,-0.294279249882642,0.0745092748396538,-0.0712126003011385,0.235475167790797,0.410922337910334,0.0681647916284089
AIPGENE10036,0.170563396206153,-0.316887751038896,-0.800784558542042,-0.356355182010534,-0.229901197879267,0.336357175920241,-0.362892856090398,0.202701408164982,0.856897567782796,0.306439513902417
AIPGENE10038,-0.0584281953104281,-0.301917320639121,-0.0560568405802234,0.0593214140794451,0.00769755960124624,0.195222895640089,-0.0691974851940133,-0.0743695386105953,0.176754124377812,-0.27519780991361
AIPGENE10040,-0.251591411124036,0.152588375693174,0.184732383733461,0.490635611869647,0.32591776680025,0.114652916306542,0.12790904062651,-0.0336440079249422,-0.216336641779645,-0.228210748430738
AIPGENE10041,-0.327555116977725,-0.139390828715816,-0.403048401705465,0.30276533264221,0.35209336566442,0.638595031543428,-0.366434863661402,-0.131121184760491,0.391995441835372,0.00847339368177032
AIPGENE10042,-0.0899818021790732,-0.119904004555095,0.201916286257489,0.139957762557385,0.0508432324302674,-0.000683312439276586,0.0538458630411996,-0.0648456556774397,-0.140890121630827,-0.226115655859407
AIPGENE10043,-0.51245101739126,-0.210629513509166,-0.174003084019792,0.287851651184502,0.125922510608216,0.139775218644977,0.421826007783748,0.484930773918291,0.0772655113700532,0.138959726852018
AIPGENE10044,-0.106181957204083,0.244909028813568,0.448591034752665,0.328574232106591,0.224205689867946,-0.0340314092371467,0.128043683438722,-0.243812668503056,-0.430039047412207,-0.34580988744969
AIPGENE10045,-0.18498072817768,-0.396850036163797,-0.232377515544834,-0.124530394044343,-0.287011110735387,-0.0566180008760372,0.359211204743281,0.542868171772267,0.235130719851224,0.123805460563817
AIPGENE10049,-0.252055298812235,-0.0287784020198438,-0.191059312485262,0.183997707184067,0.0200838967149727,0.206588126327483,0.087549283819363,0.182917142959995,0.126395765618586,0.00530066295733117
