baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AIPGENE10	1.42972764961	-0.143956495687208	0.946354403680915	-0.152116897356085	0.879094737137622	NA
AIPGENE100	0.0413840992564291	0	6.53131331522517	0	1	NA
AIPGENE1000	1.48110318828028	-0.499242266664908	0.873404085690545	-0.571605142275227	0.567589510900736	NA
AIPGENE10000	44.8704083591376	0.252398619874451	0.194423935334149	1.29818697189038	0.19422309384576	0.540656484641567
AIPGENE10001	3.86794158349404	0.725961728786057	0.624702765468765	1.16209142797905	0.245198328998537	NA
AIPGENE10002	145.272743676908	0.222840503242022	0.163108084239374	1.36621372436074	0.171871891044521	0.514468768236221
AIPGENE10003	2.63387123261006	-0.462624883985279	1.14984941901853	-0.402335189576527	0.687437360192515	NA
AIPGENE10004	17.5436509284815	-0.212656948507539	0.264330831239633	-0.804510573020335	0.421102165615927	0.75160483162371
AIPGENE10005	1.3441266294002	-0.454832796384793	1.12420315066447	-0.404582388971212	0.685784505844363	NA
AIPGENE10006	13.8175648549091	-0.867611792664882	0.334126991292364	-2.59665281547313	0.00941370210047789	0.101839878020674
AIPGENE10007	14.9976265399836	0.507634506405687	0.379470193506597	1.33774540159466	0.180979445403835	0.524163061545062
AIPGENE10008	470.011908026712	-0.270102728975792	0.209115274804792	-1.2916451427469	0.196480063084243	0.542990453997073
AIPGENE10009	2.32308840779838	0.752585037648217	0.71066798773878	1.0589826059885	0.289607701400141	NA
AIPGENE1001	2.01420077200399	0.0956713546216544	0.708332841751539	0.135065535553994	0.892560059080202	NA
AIPGENE10010	61.195858322268	-0.291055052647063	0.167058987933861	-1.74222923439649	0.081468340423636	0.362466296748448
AIPGENE10011	1.29727755289325	1.06816124593745	1.12344840246253	0.950787987767049	0.341712011627747	NA
AIPGENE10012	75.7798413543448	-0.517462677379142	0.167820619121372	-3.08342729331073	0.00204631105962097	0.0368747014474023
AIPGENE10013	0.285160539706706	-0.103164961234734	2.2543329062278	-0.045762966485443	0.963499176332034	NA
AIPGENE10014	14.8983700876749	-0.524185774907929	0.354369290417631	-1.47920767708219	0.139084818367519	0.467895159313171
AIPGENE10015	1.31467429709274	0.583548289877678	0.912445838967449	0.639542934995505	0.522469792011278	NA
AIPGENE10016	9.52389721809853	-0.224976549633492	0.371674675768265	-0.605305026952555	0.544976341905767	0.825582300607458
AIPGENE10017	8.78463169730428	0.376228209161596	0.39204475417941	0.959656276868391	0.337228235436799	0.689290791063912
AIPGENE10018	0.895510328426836	0.27554729482956	1.29892574634072	0.212134754897131	0.832001906190351	NA
AIPGENE10019	1.93702932181372	0.281070069108247	0.878061336939989	0.320103001104417	0.748890250714672	NA
AIPGENE1002	5.89983747303452	0.262233534355767	0.556320329072409	0.471371475482492	0.637375482056707	NA
AIPGENE10020	119.360039413946	0.0188952737141337	0.130416219630807	0.144884384531495	0.884802155676901	0.962591171528963
AIPGENE10021	2.26148018350428	-0.37894719273272	0.713152451080909	-0.531369123331707	0.595163013680547	NA
AIPGENE10022	16.9155215910539	0.388074781902059	0.292695452168761	1.32586543120699	0.184884275155683	0.528962755342911
AIPGENE10023	0.374388207351055	0.554961448129809	2.10825302730786	0.263232847737669	0.792371114461344	NA
AIPGENE10024	42.762006620919	-0.216558883748418	0.211340414033546	-1.02469224704956	0.30550842238898	0.660903956674369
AIPGENE10025	1319.14805196981	0.441802595787328	0.114967363948579	3.84285227227555	0.000121612675994347	0.00401961897497106
AIPGENE10026	0.478849558749941	-0.867562465190175	1.81781626564759	-0.477255309893	0.633180329975787	NA
AIPGENE10027	0.316612919930207	-0.149410206775072	2.09374768603449	-0.0713601776239102	0.943111102428059	NA
AIPGENE10028	6.17221635901661	0.614520058989738	0.573324210355978	1.07185436772011	0.283785448966605	NA
AIPGENE10029	313.786123446643	0.375145079569341	0.332176954215948	1.12935311979969	0.258748900732409	0.614577570574709
AIPGENE1003	12.343553009036	-0.444415387708271	0.334029068473855	-1.3304692005961	0.183363727586421	0.526772282361721
AIPGENE10030	2.59022646488836	-0.72334563213714	0.794973232271264	-0.909899356070793	0.362875589415429	NA
AIPGENE10031	60.5888398759733	-0.143556579327551	0.186828109422134	-0.768388545875549	0.442256383247346	0.766017205354502
AIPGENE10033	10.1514902854847	0.175299357774535	0.400567861146171	0.437627115847336	0.66165661143948	0.880401985156252
AIPGENE10034	26.11367668925	-0.28091948194175	0.416904496040206	-0.673822145383289	0.500424393850647	0.804573782227871
AIPGENE10035	65.8685243809803	-0.200102314239528	0.156776980169008	-1.2763500995096	0.20183178749555	0.551636445183634
AIPGENE10036	275.315764943034	0.00016176406644824	0.114790921770183	0.00140920609359771	0.998875616587074	0.999440915740895
AIPGENE10037	1.94525542385192	-0.176151587556947	0.907396816789146	-0.19412850507925	0.846075262349376	NA
AIPGENE10038	98.8173258972593	-0.196823996784024	0.146484798039417	-1.34364793765877	0.179062260095934	0.522086231433387
AIPGENE10039	0.716758240358273	-1.13565180604006	1.50355992085605	-0.755308644695369	0.450063812949338	NA
