,ASV1,ASV2,ASV3,ASV4,ASV5,ASV6,ASV7,ASV8,ASV9,ASV12,ASV13,ASV16,ASV17,ASV18,ASV19,ASV20,ASV21,ASV23,ASV24,ASV25,ASV26,ASV29,ASV30,ASV31,ASV32,ASV33,ASV35,ASV38,ASV39,ASV40,ASV41,ASV43,ASV44,ASV47,ASV48,ASV49,ASV50,ASV51,ASV52,ASV53,ASV54,ASV55,ASV56,ASV57,ASV58,ASV59,ASV61,ASV62,ASV63,ASV64,ASV65,ASV66,ASV68,ASV69,ASV70,ASV73,ASV74,ASV75,ASV76,ASV77,ASV78,ASV81,ASV82,ASV83,ASV85,ASV86,ASV87,ASV88,ASV89,ASV91,ASV92,ASV93,ASV94,ASV99,ASV101,ASV103,ASV104,ASV106,ASV107,ASV108,ASV110,ASV111,ASV112,ASV113,ASV114,ASV115,ASV118,ASV119,ASV120,ASV123,ASV127,ASV128,ASV130,ASV132,ASV136,ASV137,ASV138,ASV144,ASV145,ASV146,ASV150,ASV151,ASV152,ASV153,ASV155,ASV157,ASV159,ASV161,ASV162,ASV164,ASV167,ASV170,ASV171,ASV176,ASV179,ASV182,ASV183,ASV184,ASV186,ASV187,ASV189,ASV192,ASV195,ASV196,ASV198,ASV200,ASV202,ASV205,ASV207,ASV211,ASV213,ASV214,ASV221,ASV226,ASV234,ASV235,ASV239,ASV240,ASV242,ASV243,ASV244,ASV247,ASV248,ASV249,ASV250,ASV251,ASV257,ASV258,ASV259,ASV260,ASV263,ASV266,ASV267,ASV268,ASV274,ASV279,ASV280,ASV283,ASV285,ASV288,ASV289,ASV293,ASV297,ASV301,ASV303,ASV304,ASV307,ASV308,ASV309,ASV310,ASV315,ASV318,ASV323
AA,0.000428559184023314,0.00116031349348355,0,0.00211864406779661,0.0782338576522491,0.0584241773261322,0,0.0116262392015081,0.000869640838333768,0.0080187684864781,0.0293199643776796,0.00736091493424735,0.00518348166529585,0,0.0714627324434809,0.00937876456562278,0.00200018606381989,0,0.00616721654820004,0.00250273736899734,0.0102321510132418,0,0.0777302659320695,0.00217225309329746,0.00737715230770905,0,0.0324654735833899,0.00787468801529134,0.00394963241044893,0.0473304326138749,0.000418643594753,0.0290041842072186,0,0,0.00312355832245294,0,0.00174930610610599,0.00533361759747486,0.0194851654533885,0,0.00364970131375612,0.01578257593953,0.00148190920566043,0,0.00763413334459846,0.00555443182737177,0.0537338361744341,0.00624942373330241,0.000514271020827976,0,0.0042797758285753,0.001863825492038,0.0117861223532762,0,0,0.00143490738325072,0.0479983691280032,0,0.00165231759283416,0.0352082403445491,0.0353698717359285,0.00763014567771058,0.00308462622064961,0,0,0,0.00195526356952917,0.0011034604519774,0.00255554427865496,0.0085442492307494,7.82105427811669e-05,0.00170298479505801,0.00796425710294182,0.0170244290096374,0.000660685906678473,0,0.00462142357260806,0.00308562612496786,0.00352037349617428,0.00546221366667235,0,0.000662076271186441,0,0.0136497913434567,0.00116712777309266,0.0245226148646679,0,0,0,0,0.000739194712583703,0.00177391025301482,0.00319802117973923,0,0,0,0.000342847347218651,0,0.00214727014598907,0.00356209508728374,0,0,0,0,0.00342866761167144,0,0.00135935527721138,0.00104356900600052,0.00245004560928805,0.00249326386695356,0,0.00158898305084746,0.00296472985632736,0.00528824972981678,0,0.0027684777931951,0,0,0.00801219084023938,0.00449261655490247,0.0084567966896317,0.00413810995890896,0,0.000860679866895091,0,0.00688252806333893,0,0.00127541949115693,0.00303690042856821,0.000782105427811669,0,0,0.000967106940765667,0,0.00474856241198054,0,0,0,0,0.00758716830113445,0.00408255609183407,0.000743000156421086,0,0.000878173728445068,0.00200227483630884,0,0,0,0.00194193611030197,0,0.00192174273444559,0.00384676795585613,0,0.0011475988700565,0,0,0,0,0.00218648022779241,0,0.00201029506212204,0,0.00168152666979509,0,0,0.000308968926553672,0.00252701899814511,0,0,0,0,0,0.00264125534425177
AS,0.454913734560004,0,0.243749756003235,0,0.00703853349904617,0.00664551552433534,0.111081055172761,0.010926048853438,9.21319329279528e-05,0.00163274704144972,0.000539302928179808,0,0.00204445205399396,0,0.0242857217697859,0.000188964174914152,0,0.000733371596199222,0.000754038198318564,0.00113612889898781,0.00259418343756222,0,0.00739215913126394,0.0012360786168035,0.000539564154250134,0.000336502361685629,0.00859628456584919,0.000606994537773686,0,0,0,0.0183728883229819,0,0,0.000103284445362528,0.00305203133969004,0,0.000676189858271289,0,0,9.379103357719e-05,0.000159428607869396,0,0.0155615307288726,0.000304915233565069,0,0,0.00253710139038922,0,0,0,0.00065653723504033,0.00320759599668042,0,0.0104522782255406,0,0,0,0.000304915233565069,0.00130716535404758,0.000500218845745013,0.00264693687559592,0.00076350396752157,0,0,0.000218845745013443,0.000250109422872507,0,0,0.00321038987914605,0,0,0.00303693420111449,0.000343900456449697,0,0.000500218845745013,0.000343900456449697,0.00010690613641223,0,0.000673360419249065,0.00120171717766511,0.00113612889898781,0,0.000891307897170394,0.000125054711436253,0,0,0,0,0,0.000579996306632063,0.00921769340341037,0.000191314329443275,0.000125054711436253,0,0,0.000125054711436253,0.00386814699669043,0.0008192477728354,0.000884692419244321,0,0,0,0.00329350801936465,0,0,0,0.00021381227282446,0.000437391268451406,0.000519670622777481,0,0,0.00120788049234281,0.00202198969677214,6.37714431477584e-05,0.00110170075053364,0.000304915233565069,0,0,0,0,0.000500057540597837,0.000536699594839268,0.00189517955579549,0.000426881326991097,0,0,0,0,0,0,0,0.00085524909129784,0,0,0,0,0,0.00117055704744199,0,0,0.000127542886295517,0,0.00365662711824207,0,0.00199683261034222,0,0,0.0003882792371438,0,6.14212886186352e-05,0.00018758206715438,0.00137712593816705,0,0,0.00037516413430876,0.000356353788040767,0,9.21319329279528e-05,0,0,0.000250109422872507,0,0,0.000327687022735191,0,0,0,0,0.000640321990486645,0,0,0
CA,0.264396728990512,0.000260945520393842,0.135699752016003,0.128608649714654,0.00567369791858337,0.00289736552194421,0.0611891233810323,0.00581171731164694,0.00334736589077117,0.00224274591162598,0.00123294206471231,6.44745325596389e-05,0.000495755096982091,0.00594259142195279,0.0170070020232875,0.00055450970661382,0.0558197977293808,0.0563718214717261,0.000813998236605233,0.000364391419210339,0.00106295137595239,0.000274849861485509,0.0050762735558423,0.000309846935613807,0.000720064483895824,0,0.00579971434880318,0.000437704969132612,0,0.0165073296715972,0,0.00240734879223551,0.0228005735004018,0,7.02520094295519e-05,0.00225593254697834,0,0.00175215243751505,0.0101131593874237,0.0194598128325256,0.000526739790543472,0.00396971852909695,0.000171139692799617,0.00213399132735375,0,0.012865883030984,0.00122394252105167,0.00436603081315624,6.98226504678118e-05,0.0154085756139568,0.0137627773876454,0,0.00298982184045585,0,0.0021598968407479,0.000106022052586938,0.00035340684195646,0.0104518285648303,0.000636484057118944,0.000867838474194051,0.000130539781998564,0.00154162666043452,0.00301522602153127,0,0.00733033001856618,9.67117988394584e-05,9.2954080684142e-05,0.00924301045392155,0.0019229285505527,0.00213860666466649,0.0066908461788903,0,0.00066374653669179,0.00151918085539072,0.00548678875734332,0.00016198168983874,0.00344210308853659,3.5340684195646e-05,6.98226504678118e-05,0.0013449778111329,0.00235695779667135,0.00143035533108113,0,0.000769377836216197,0.000104733975701718,0,0.000349113252339059,0,0,0,0.0023367827728428,0.000588709177666233,0.000813605596708835,0,0.00205636565062552,0.00267210474399002,0.00022246973854045,0.000278862242052426,0.00052298134969572,0.000915757356666691,0.00221738053199946,7.06813683912921e-05,0.00193523133464097,0,0.000650678564788994,0.000202733851426396,0.00199399803412779,0.000501662435228052,0.000679438982328649,0.000662713059033322,0.000161186331399097,0.00176349133474248,0.000881740570649476,0.000185908161368284,0.000743632645473136,0.00169811968887997,0,0,0.000123938774245523,0.000352500164617558,0.000161186331399097,0.000447015222880092,0.000842894528229059,0,0,0,0.00154233777375654,0.000772926013162179,0.000853207311174875,0.000247877548491045,0,0,0.000424088210347752,0,3.5340684195646e-05,0.000105592693625198,0.00159033078880407,0.00119897230489827,0.000216892854929665,0,0,0.000517376730305709,0,0,0,0.000597867554106521,0.00099662941705422,0,6.98226504678118e-05,0,0,0,0.000247384789369522,0,0,0.000595209964823361,0,0.000721543841199905,0.000212044105173876,0.000433723669390665,0.00020894068725805,0,0.000214187775741246,0.000520228650727212,0,6.48722117794605e-05,3.5340684195646e-05,9.2954080684142e-05,0.000611330643466467,0.000141362736782584,0,0.000203319985783135,0
CS,0.190354666368788,0.0471835905251794,0.099516609745542,0.0671731976077383,0.0851796335627563,0.0786611042712813,0.0442930869958765,0.00405328219673898,0.005955066362361,0.0272135602695819,0.00803589692073699,0.0184749043608424,0.00118267662200213,0.0725263424590028,0.00422289161428768,0.0171536683415001,0.000712441000979606,0.000331556695977882,0.0108834815508026,0.00958295259955377,0.0104598149896761,0.0016767722848974,0.00377183840503564,0.0109544675176224,0.00945875776241697,0.0328345033868221,0.00253920796630395,0.00505682165280121,0.00692413704830411,0.00212738934400203,0.00107041478028563,0.000253948910894241,0,0.00578955266534919,0.00613499172341784,0.00226120263046497,0.000997099127310685,0.00102773678015279,0.000818739172459851,0,0.00602673536980055,0.00971351920541014,0.00402969863585055,0.00228780037942625,0.00389436043793725,6.53082549634274e-05,0.00178978669442218,0.00742956697139084,0,0.000251018685599002,0.000495631047857145,0.00373701980216816,0.000722202229415842,0.00174927735645793,0.00155846468964289,0.00230984598286859,0.000635041595224487,0,0.00220411612543438,0.000938907608659565,0.000698545754746936,0.00085474695830845,0.000762493713584491,0.00168286022734489,0.000285768717851019,0.0017947681743824,0.0019679139239412,0,0.000867385176229491,0.000263927776993896,6.35041595224487e-05,0.000984543710867017,0.000205679548856165,0.0010478186321204,6.35041595224487e-05,0.000273164745651707,3.17520797612244e-05,0.000829812526458923,0.000209354220205183,0,0.000526818631806577,0.000155174954267489,0.000915170714537135,0.000222264558328571,0.000108031722083674,0.000349272877373468,0.00543993277907124,0.00162338253451752,0.00531897579928328,0.00444190574534734,0.000179733398608124,0.000285768717851019,0.00162469491850738,0.00225754927764327,0.000254016638089795,0.000133582687683676,0.00145135065665277,0,9.06782734856728e-05,0,4.45275625612254e-05,0,0,0,0.000282770765360226,0.000190512478567346,0.000127008319044897,0.000124253998758494,9.52562392836731e-05,9.52562392836731e-05,0.00166769486745052,0.000485787714197359,0,0,0.00106787692898291,0,0.00175277563304637,0.0017565710598035,4.53391367428364e-05,0.000552101314151228,0,9.06782734856728e-05,0,0,0.000222264558328571,0.000317520797612244,0,0,0,0.000127008319044897,0,7.03977472720873e-05,0.000558259293256435,0.00121631690432162,0,0.000121709252604164,0,0,0,0,0,0,0,0.000190512478567346,0,0,0,0.00100882165104542,0.000172347455787734,0.00075253165796222,0,0,0,0.000285768717851019,0.000661790316962731,0,0,0,3.26541274817137e-05,7.71816900429391e-05,0.000120807204883675,0,0,0,8.90551251224508e-05,6.35041595224487e-05,3.51988736360436e-05,0,0,0,0.000545782754211725,0,0
PA,0.000423063331543473,0.383989988479805,0,0.245276328375423,0.0527446738793796,0.0434926447123356,0,0.0242196994715286,0.0186523001353162,0.0154352432617918,0.0213065923529904,0.00780588292055117,0.00328363993476136,0.000151601288610953,0.0122024439153421,0.00957391111336204,0,0,0.00458384718814932,0.00323563350889442,0.00525025492742836,0.0046867389430687,0.0100488500731527,0.0332768397457193,0.00514639848634804,0,0.00349957529710608,0.00262844352827577,0.00358846640363425,0.00441799591984251,0.00383785343651087,0.00204308487411876,0,0.00220630315283743,0.00252112312418416,0.00111196944210443,0.00083419918149036,0.0015238666636376,0.00140469573872684,7.28066982162359e-05,0.00254808666246724,0.00111244650888287,0.00209167351138633,0,0.00117490998673489,7.58006443054766e-05,0.00487044950170138,0.00156674227427521,0.000207425845260319,0,0,0.000520413468838761,0.00202803566646922,0.00081517217850141,0,0.000882102182669075,0.00176444978038035,0,0.00208759893468233,0.00163572711466002,0.00323709094298067,0.00129374647895461,0.000987658635596483,0.00923649595189242,0,0.001913548893003,0.000451809919743619,0.00023524799059008,0.00011762399529504,0.000886679534422892,0,0.00158723321267122,0.000290396183364447,0.00150241298119952,0.000145613396432472,0,0.000755282865897484,0.00101836570116434,0.000110707020368974,0.000783218257922746,0,0,0,0.000905872209534705,0.000508209116989401,0.00236207848649032,0,0,0,0,0.000829672000223254,0,3.92079984316801e-05,0,0,0,0.00011090573012939,0,0.000263237391727512,0.000147874306839187,0,0,0,0,0.00038423392664315,0.000372648811507639,0,0.00014973779772507,0.000259125066125008,0.000401188666798336,0,3.79003221527383e-05,0.000366535009607423,7.28066982162359e-05,0,0,0,0,0.00101663469071814,0.000399880990519394,0.000237525161210464,0.000192180385428482,0.000389464631758917,0.000539307197676831,0.000674563472932157,0.000426057277632714,0,0,0.000354621677802326,0,0,0,0,0,0.000911249198983526,0.000756630953770283,0,0,0,0,0,0.000237525161210464,0.00011090573012939,0.000286811336465122,0.00104901117728867,0,0,0,0.000313025372476942,0.000331881352416511,0.000119901165915424,0,0.000151601288610953,0.000700693532644318,0,0,0,0,7.84159968633601e-05,0,0.000193235342834838,0,0.000389275334993238,0,0,7.58006443054766e-05,3.69685767097967e-05,3.79003221527383e-05,0,0.000165940676208256,0,0,0.000200632082297668
PS,0.378202169592244,0.00101010101010101,0.193641479237116,0.0246227431959041,0.0111665032503113,0.00927417415942158,0.0996421415570149,0.0412657516316922,0.00240809670299143,0.00283835951292959,0.000847776940467219,0.000599266779469825,0.00410914013531553,0.000134734572891404,0.0474462208239378,0.00139868591645241,0.00663567771490164,0.0033009970358394,0.000172379450118579,0,0.00110431728452033,0.000211505922165821,0.00813295049178235,0.00378199311952681,0.000524575769929706,0.000831177097658438,0.017116991248049,0.00258158087100043,0,0.00131366208569119,0,0.0127513583174363,0.00269469145782808,0,0.000937950937950938,0.00152914888417934,0.000553702906865557,0.00322186032614127,0.00293047696038804,0.00161681487469685,0.000842826772334595,0.000606305578011318,0.00185293365628383,0.00920616027374143,0.000408070677586003,0.00239153866882242,0.00361836147448946,0.0019350335837092,0.00119316754584275,0.00101050929668553,0.000538938291565616,0,0.00754509956750859,0,0.00320030120481928,0.000108225108225108,0.000188253012048193,0.00161681487469685,0.00156608895385258,0.000800445465302429,0,0.00109916434797292,0.0107965131882518,0,0.000976825653462678,0.000712101653366714,0,0.00033683643222851,0.00136923818135124,0.00409963304287021,0.00101050929668553,0.00140692640692641,0.00275359172992953,0,0.000943142010239827,0.000101050929668553,0.000606305578011318,0.000472153766581477,3.60750360750361e-05,0.00413484236545651,0.000860987401505781,0.00171247058878425,0,0.00260666931014132,0.000824633592434804,0,0,0,0,0,0.000793650793650794,0.000565113695172552,0.000941761582880126,6.27982918864607e-05,0.000639989221234169,0.000303152789005659,9.4197437829691e-05,0.00157003397163718,0.000528764805414552,0.00113770931404692,0.000421730373393331,0,0.000572621934788467,0.00247680654937856,0.00126818874998847,0,0.000269469145782808,0.000597699435665039,0.00201692293918277,0.000775578890177841,0.00033683643222851,3.3683643222851e-05,0.000948827870135772,0.0013572770933389,0.000878015572739902,0,0.000313991459432303,0,0,9.41265060240964e-05,0,0.00122099194527857,0.00259506111504468,0.0017052968608617,0.000452425697779634,0,3.3683643222851e-05,0.000500638365913127,6.7367286445702e-05,0,0,0,0.000188394875659382,0,0,0,0,0.000101050929668553,0.000269469145782808,0,0,0.000139207907009118,0,0,0,0,0.000303152789005659,0,0,0,0,0,0,9.41265060240964e-05,0,0,0.00160216797817327,0,0.000313217790770516,0.000235785502559957,0,0.00185447660066949,0,6.7367286445702e-05,0.000407881526104418,0.000134734572891404,0,0.00177718712131273,0.000101050929668553,0,6.27510040160643e-05,0.000733661829053907,0
RA,0.00171748632269962,0.290643145594074,0,0,0.0402045022090271,0.0405767012580092,0.000182815356489945,0.135515519610748,0.176220875963319,0.0166378424172043,0.0776899545463505,0.00751334081594863,0.0113479601420018,0.000311427972538921,0.0102759179344524,0.00894671709226497,0,0.00219641760808966,0.00861889057589125,0.00462664872491415,0.00428984994729822,0.0283913806779451,0.00609865914532224,0.00884551709193822,0.00393035475638598,0.00012187690432663,0.00542416787392055,0.00458938943843782,0.00311626791389407,0.000766746556364042,0.0227649954371452,0.000531649268274172,0,0.00288137581849523,0.00272674163548536,0.0054530666690616,0.00203535232655975,0.00729787714759854,0.00056823315290919,0,0.00207557286044169,0.000445107719475844,0.00268328159812549,0.00036593040418895,0.0025596334435692,0,0.00252491176480635,0.000691941510182561,0.00032137806916056,0,0,0.00168940524774596,0.00213589962019984,0.00104492968663718,0,0.00201123389221095,0.0026933920698353,0,0.00186408850138398,0.00156818083342446,0.00239004487024434,0.0010136873403077,0.00136642811631636,0.00185951652570332,0,0.00135207205112485,0.00211207131038683,0,0.000398507933776185,0.000901813158270615,0,0.0013647595830817,0.000462952009951423,6.2990577494854e-05,0,0,0.000284100116895472,0.000781343196595501,0.00285482340303886,0.000570432101315363,0,0.000489635173350025,0,0.000555843764553085,0.00142143328112074,3.2137806916056e-05,9.1726288754357e-05,0,3.04692260816575e-05,0,0.000252863801819534,0.000188005264147396,0,0,0,0,0,0,0.000405900418648721,0.000408930638393759,0,0,0,0,0.000124373962540061,0.00192729848741412,0,0.000489809975255988,0.000340804450420197,0.000280661471499084,0,0,0.000152346130408288,0,0,3.0852770578798e-05,0,0,0.000760860615062641,0.000188005264147396,0.000351427243514535,0.000616195723689524,0,0.0021372577296453,0.00034467631760356,9.40026320736981e-05,0,0,0,0,0.000491266452801417,9.40026320736981e-05,0.000119968808109891,0,0.000219057414069079,0,0,0,0,0,0.000219339474838629,6.42756138321121e-05,0,0,0.000256298859103625,0,0,0,9.25583117363939e-05,0,6.26684213824654e-05,0.000400996159873116,0,0.000127266191326966,0,0,0,3.2137806916056e-05,9.25583117363939e-05,0.000156671053456163,3.0852770578798e-05,0,0,0,0,0.000218858034726194,3.2137806916056e-05,0,0,0,0,0,6.34720176072887e-05
RS,0.0174219438184869,0.000244400467654444,0.00834397713645422,0,0.145361436252684,0.135906534220736,0.00412430451492952,0.0826956834896121,0.00440486142517612,0.0599366593541306,0.00727825563699288,0.0603707784082856,0.0813643622714889,0.00323627331215195,0.00721224252032035,0.0285154163671215,0,0,0.0317294802310511,0.028506761494854,0.0209974634731166,0.00912570633614918,0.00223124514848154,8.37053571428571e-05,0.0164151610997902,0.000892857142857143,0.00212630367126364,0.0110203855532916,0.0134104217203773,0,0.000519159679487646,0.00201354902720719,0.000530133928571429,0.0128731843948726,0.0121656959071216,0.0134277687592087,0.0156715579502161,0.0100060709554665,2.79017857142857e-05,0,0.00825675796899058,0.00138750842318059,0.00890390121911859,0.00526895496245331,0.00723417718237799,0,2.92260930558803e-05,0.00149896380807348,0.0175737253665102,0,0,0.0100645606363532,0.0019782679394846,0.00951572610079701,0,0.00538447926910296,0,0,0.00545938092084066,0.000116904372223521,0.0005308344892167,0.00316852420718419,0.00222182822455553,0,0,0.00419881426199336,0.00282078213420695,0,0.00428258827257874,0.000442098667193426,0,0.00274517228982633,0.000562915008358894,0.000269541778975741,0,0.00744918279396712,0.000139205412642913,0.00225535775667248,0.00325378532292026,0.000227388821547853,0.000862533692722372,0.0029500919514186,0.00489091325349157,0,0.00304376275406795,0,0,0.0037057023638546,2.79017857142857e-05,0,0.000752346722170149,0.000462200273521028,8.08625336927224e-05,0.000497834679733265,0,0,0.000697544642857143,0,8.32500832500833e-05,0.000567879067183626,0,0.00306873977086743,0,0,0.000223214285714286,0.000435057277628032,0,0.000761694257549217,2.77500277500278e-05,8.08625336927224e-05,0,0,2.69541778975741e-05,0,0.0001953125,5.51359100181949e-05,8.37053571428571e-05,0,0,0,0,0,0,8.37053571428571e-05,0.00063497272320626,0,0,0,0,0.00144395124729442,0.00117860583119465,0.00105121293800539,0,0,0,0.00078922154673737,0,0,0.000630823291101865,0,2.8254972875226e-05,0.000362723214285714,0.00132241759158033,0,0,0,0,0,0.00032345013477089,8.63011334215523e-05,0,0,0.000305601521716879,0,0,0.000446428571428571,0,0,0,0,0,0,0,0,8.32500832500833e-05,0,0,0,0,0.000215633423180593,0,0,0
