ASV_ID	B10	B11	B12	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9
ASV32	71	89	10	5	93	0	2	0	5	82	55	136	156	29	116	5	13	7	2	8	0	0	9	0	7	0	0	0	5	69	20	0	0	34	19	7	60	0	7	7	37	3	24	48	23	0	0	82
ASV33	113	43	0	355	62	12	0	0	213	0	0	0	0	32	0	0	0	0	0	0	1	12	0	0	0	0	6	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV34	0	0	49	0	0	0	14	0	0	0	0	0	0	0	0	0	0	23	28	0	0	0	0	0	0	0	0	0	4	46	156	0	4	53	26	1	27	0	157	3	11	78	363	649	88	355	591	254
ASV35	0	0	70	1	0	85	58	47	6	3	5	1	3	29	5	31	192	14	17	39	36	84	0	63	34	86	73	11	81	0	34	17	2	14	27	8	26	39	60	12	12	31	97	58	93	325	83	51
ASV36	0	12	2	35	3	17	0	65	7	0	0	0	0	0	0	0	0	104	156	0	0	0	0	0	0	0	7	0	225	0	0	180	84	0	1	0	0	0	0	4	0	1	0	0	0	6	9	0
ASV38	40	28	0	8	61	13	15	0	6	48	70	147	66	15	44	2	46	7	0	0	1	0	0	5	0	13	0	0	6	16	28	0	0	62	24	9	45	0	8	0	25	0	45	38	0	7	0	101
ASV39	64	63	0	0	75	0	0	0	0	102	29	75	131	31	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	15	0	0	21	26	0	54	0	0	0	34	0	0	0	0	0	0	101
ASV40	0	0	67	0	0	0	0	39	0	0	0	0	0	0	0	0	0	39	143	0	0	0	0	0	0	0	0	0	184	5	95	44	66	2	1	0	1	0	20	7	0	6	172	259	153	157	259	66
ASV41	0	0	28	0	0	0	0	0	4	3	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	0	0	106	75	263	50	114	132	54	8	15	0	0	9	0	0	0
ASV42	16	61	0	176	74	0	0	26	191	0	0	0	0	0	0	0	0	13	51	0	0	0	0	0	0	0	0	0	40	0	0	89	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV43	5	0	0	0	0	22	34	3	2	1	6	11	0	22	9	24	85	0	7	27	95	136	240	175	26	0	55	57	18	3	5	10	10	5	1	3	2	0	6	0	2	40	60	58	172	285	0	53
ASV44	0	0	0	0	0	0	0	80	0	0	0	0	0	19	0	0	0	80	184	0	0	0	0	0	0	0	0	0	227	0	0	78	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV45	46	3	0	62	18	0	320	0	223	2	0	0	0	5	0	13	201	0	0	56	71	133	14	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV46	2	3	59	0	0	35	0	0	5	0	3	2	0	25	0	23	8	8	0	6	0	0	0	41	51	124	0	1	17	52	43	3	4	34	8	6	18	0	92	25	8	82	227	202	423	442	195	115
ASV47	56	45	0	0	68	0	0	0	0	150	42	118	73	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	41	20	0	32	0	0	0	32	0	0	0	0	0	0	0
ASV48	80	27	4	7	39	0	26	0	17	97	24	98	39	28	137	8	0	0	1	0	0	0	0	0	0	3	0	0	1	18	12	0	0	33	12	4	36	0	3	4	14	17	5	45	0	0	0	25
ASV49	0	3	0	30	4	0	25	4	15	9	20	7	2	151	7	295	3	5	9	5	9	3	10	0	13	39	25	6	21	3	9	18	7	15	40	39	19	31	33	10	2	5	0	0	0	0	0	0
ASV50	8	9	0	0	12	0	11	0	0	32	319	137	32	0	42	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	6	0	0	2	0	36	17	11	1	0	8	0	0	5	33	0	0	0
ASV51	0	0	11	2	0	13	41	8	13	10	39	20	16	68	25	186	2	6	6	29	16	14	0	0	0	9	10	2	7	14	5	2	4	23	30	39	36	77	32	11	4	6	51	0	0	36	31	0
ASV52	1	0	0	12	2	0	0	87	4	0	0	0	0	1	0	0	0	7	47	0	0	0	0	0	0	0	0	0	25	2	16	101	113	7	2	0	1	0	8	0	10	8	46	67	194	22	67	40
ASV53	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	86	121	0	0	0	0	0	0	0	0	0	206	0	0	94	54	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV54	50	58	0	0	61	8	0	0	5	38	30	66	51	42	54	12	17	0	0	17	0	0	0	0	3	0	0	0	0	45	5	0	0	12	12	5	29	0	9	0	13	4	0	66	0	0	0	21
ASV55	28	41	0	128	14	0	0	18	26	0	0	0	0	42	0	8	0	22	21	0	0	0	0	5	0	0	0	0	30	2	10	17	26	6	0	0	0	0	8	2	2	12	30	30	83	27	164	20
